#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
-24.129601   -7.540500313  0.000347585  0.0009268
-23.9925     -7.49765625   0.000347585  0.0009268
-23.8554     -7.4548125    0.000347586  0.0009268
-23.7183     -7.41196875   0.000347586  0.0009268
-23.5812     -7.369125     0.000347586  0.0009268
-23.444099   -7.326280938  0.000347586  0.0009268
-23.306999   -7.283437188  0.000347586  0.0009268
-23.169901   -7.240594063  0.000347586  0.0009268
-23.032801   -7.197750313  0.000347587  0.0009268
-22.8957     -7.15490625   0.000347587  0.0009268
-22.7586     -7.1120625    0.000347587  0.0009268
-22.6215     -7.06921875   0.000347587  0.0009268
-22.4844     -7.026375     0.000347587  0.0009268
-22.3473     -6.98353125   0.000347588  0.0009268
-22.210199   -6.940687188  0.000347588  0.0009268
-22.073099   -6.897843438  0.000347588  0.0009268
-21.936001   -6.855000313  0.000347588  0.0009268
-21.798901   -6.812156563  0.000347588  0.0009268
-21.6618     -6.7693125    0.000347588  0.0009268
-21.5247     -6.72646875   0.000347589  0.0009268
-21.3876     -6.683625     0.000347589  0.0009268
-21.2505     -6.64078125   0.000347589  0.0009268
-21.1134     -6.5979375    0.000347589  0.0009268
-20.976299   -6.555093438  0.000347589  0.0009268
-20.839199   -6.512249688  0.000347589  0.0009268
-20.702101   -6.469406563  0.00034759   0.0009268
-20.565001   -6.426562813  0.00034759   0.0009268
-20.4279     -6.38371875   0.00034759   0.0009268
-20.2908     -6.340875     0.00034759   0.0009268
-20.1537     -6.29803125   0.00034759   0.0009268
-20.0166     -6.2551875    0.00034759   0.0009268
-19.879499   -6.212343438  0.000347591  0.0009268
-19.742399   -6.169499688  0.000347591  0.0009268
-19.605301   -6.126656563  0.000347591  0.0009268
-19.468201   -6.083812813  0.000347591  0.0009268
-19.3311     -6.04096875   0.000347591  0.0009268
-19.194      -5.998125     0.000347591  0.0009268
-19.0569     -5.95528125   0.000347591  0.0009268
-18.9198     -5.9124375    0.000347592  0.0009268
-18.7827     -5.86959375   0.000347592  0.0009268
-18.645599   -5.826749688  0.000347592  0.0009268
-18.508499   -5.783905938  0.000347592  0.0009268
-18.371401   -5.741062813  0.000347592  0.0009268
-18.234301   -5.698219063  0.000347592  0.0009268
-18.0972     -5.655375     0.000347592  0.0009268
-17.9601     -5.61253125   0.000347592  0.0009268
-17.823      -5.5696875    0.000347593  0.0009268
-17.6859     -5.52684375   0.000347593  0.0009268
-17.5488     -5.484        0.000347593  0.0009268
-17.411699   -5.441155938  0.000347593  0.0009268
-17.274599   -5.398312188  0.000347593  0.0009268
-17.137501   -5.355469063  0.000347593  0.0009268
-17.000401   -5.312625313  0.000347593  0.0009268
-16.8633     -5.26978125   0.000347593  0.0009268
-16.7262     -5.2269375    0.000347594  0.0009268
-16.5891     -5.18409375   0.000347594  0.0009268
-16.452      -5.14125      0.000347594  0.0009268
-16.314899   -5.098405938  0.000347594  0.00081095
